"CAN_EAT","CAP_SHAPE","CAP_SURFACE","CAP_COLOR","BRUISES","ODOR","GILL_ATTACHMENT","GILL_SPACING","GILL_SIZE","GILL_COLOR","STALK_SHAPE","STALK_ROOT","STALK_SURFACE_ABOVE_RING","STALK_SURFACE_BELOW_RING","STALK_COLOR_ABOVE_RING","STALK_COLOR_BELOW_RING","VEIL_TYPE","VEIL_COLOR","RING_NUMBER","RING_TYPE","SPORE_PRINT_COLOR","POPULATION","HABITAT"
"EDIBLE","CONVEX","FIBROUS","YELLOW","BRUISES","ALMOND","FREE","CROWDED","NARROW","BROWN","TAPERING","BULBOUS","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","PURPLE","SEVERAL","WOODS"
"EDIBLE","CONVEX","FIBROUS","YELLOW","BRUISES","ANISE","FREE","CROWDED","NARROW","BROWN","TAPERING","BULBOUS","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","PURPLE","SEVERAL","WOODS"
"EDIBLE","FLAT","FIBROUS","WHITE","BRUISES","ANISE","FREE","CROWDED","NARROW","BROWN","TAPERING","BULBOUS","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","PURPLE","SEVERAL","WOODS"
"EDIBLE","FLAT","FIBROUS","YELLOW","BRUISES","ANISE","FREE","CROWDED","NARROW","BROWN","TAPERING","BULBOUS","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BROWN","SEVERAL","WOODS"
"EDIBLE","BELL","SMOOTH","WHITE","BRUISES","ALMOND","FREE","CLOSE","BROAD","BROWN","ENLARGING","CLUB","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BROWN","NUMEROUS","MEADOWS"
"EDIBLE","BELL","SMOOTH","YELLOW","BRUISES","ALMOND","FREE","CLOSE","BROAD","WHITE","ENLARGING","CLUB","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BROWN","SCATTERED","GRASSES"
"EDIBLE","CONVEX","SMOOTH","WHITE","BRUISES","ALMOND","FREE","CLOSE","BROAD","BLACK","ENLARGING","CLUB","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BROWN","NUMEROUS","GRASSES"
"EDIBLE","CONVEX","SMOOTH","WHITE","BRUISES","ANISE","FREE","CLOSE","BROAD","WHITE","ENLARGING","CLUB","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BROWN","NUMEROUS","MEADOWS"
"EDIBLE","CONVEX","SMOOTH","WHITE","BRUISES","ANISE","FREE","CLOSE","BROAD","GRAY","ENLARGING","CLUB","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BLACK","NUMEROUS","GRASSES"
"EDIBLE","CONVEX","SMOOTH","YELLOW","BRUISES","ANISE","FREE","CLOSE","BROAD","WHITE","ENLARGING","CLUB","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BROWN","NUMEROUS","MEADOWS"
"EDIBLE","CONVEX","SCALY","YELLOW","BRUISES","ALMOND","FREE","CLOSE","BROAD","BLACK","ENLARGING","CLUB","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BLACK","NUMEROUS","MEADOWS"
"EDIBLE","FLAT","SCALY","YELLOW","BRUISES","ALMOND","FREE","CLOSE","BROAD","WHITE","ENLARGING","ROOTED","SMOOTH","SCALY","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BLACK","SCATTERED","GRASSES"
"EDIBLE","FLAT","SCALY","YELLOW","BRUISES","ALMOND","FREE","CLOSE","BROAD","PINK","ENLARGING","ROOTED","SMOOTH","SCALY","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BROWN","SCATTERED","PATHS"
"EDIBLE","FLAT","SCALY","YELLOW","BRUISES","ALMOND","FREE","CLOSE","BROAD","BROWN","ENLARGING","ROOTED","SMOOTH","SCALY","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BLACK","SOLITARY","PATHS"
"EDIBLE","FLAT","SCALY","YELLOW","BRUISES","ALMOND","FREE","CLOSE","BROAD","BROWN","ENLARGING","ROOTED","SMOOTH","SCALY","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BROWN","SOLITARY","PATHS"
"EDIBLE","FLAT","SCALY","YELLOW","BRUISES","ANISE","FREE","CLOSE","BROAD","WHITE","ENLARGING","ROOTED","SMOOTH","SCALY","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BLACK","SOLITARY","PATHS"
"EDIBLE","FLAT","SCALY","BROWN","BRUISES","ALMOND","FREE","CLOSE","BROAD","WHITE","ENLARGING","ROOTED","SMOOTH","SCALY","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BLACK","SOLITARY","PATHS"
"EDIBLE","FLAT","SCALY","BROWN","BRUISES","ALMOND","FREE","CLOSE","BROAD","PINK","ENLARGING","ROOTED","SMOOTH","SCALY","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BLACK","SOLITARY","GRASSES"
"EDIBLE","CONVEX","FIBROUS","BROWN","NO","NONE","FREE","CLOSE","NARROW","GRAY","ENLARGING","EQUAL","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BROWN","SOLITARY","URBAN"
"EDIBLE","FLAT","FIBROUS","GRAY","NO","NONE","FREE","CLOSE","NARROW","GRAY","ENLARGING","EQUAL","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BLACK","SEVERAL","URBAN"
"EDIBLE","FLAT","FIBROUS","GRAY","NO","NONE","FREE","CLOSE","NARROW","PINK","ENLARGING","EQUAL","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BLACK","SOLITARY","URBAN"
"EDIBLE","SUNKEN","FIBROUS","GRAY","NO","NONE","FREE","CLOSE","NARROW","BLACK","ENLARGING","EQUAL","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BROWN","SEVERAL","URBAN"
"POISONOUS","CONVEX","SMOOTH","WHITE","BRUISES","PUNGENT","FREE","CLOSE","NARROW","WHITE","ENLARGING","EQUAL","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BLACK","SCATTERED","URBAN"
"POISONOUS","CONVEX","SMOOTH","WHITE","BRUISES","PUNGENT","FREE","CLOSE","NARROW","BROWN","ENLARGING","EQUAL","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BLACK","SCATTERED","GRASSES"
"POISONOUS","CONVEX","SMOOTH","WHITE","BRUISES","PUNGENT","FREE","CLOSE","NARROW","BROWN","ENLARGING","EQUAL","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BROWN","SEVERAL","URBAN"
"POISONOUS","CONVEX","SMOOTH","BROWN","BRUISES","PUNGENT","FREE","CLOSE","NARROW","BLACK","ENLARGING","EQUAL","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BLACK","SCATTERED","URBAN"
"POISONOUS","CONVEX","SCALY","WHITE","BRUISES","PUNGENT","FREE","CLOSE","NARROW","PINK","ENLARGING","EQUAL","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BLACK","SCATTERED","GRASSES"
"POISONOUS","CONVEX","SCALY","WHITE","BRUISES","PUNGENT","FREE","CLOSE","NARROW","PINK","ENLARGING","EQUAL","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BROWN","SEVERAL","GRASSES"
"POISONOUS","CONVEX","SCALY","BROWN","BRUISES","PUNGENT","FREE","CLOSE","NARROW","WHITE","ENLARGING","EQUAL","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BROWN","SCATTERED","URBAN"
"POISONOUS","FLAT","SCALY","WHITE","BRUISES","PUNGENT","FREE","CLOSE","NARROW","BLACK","ENLARGING","EQUAL","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BLACK","SCATTERED","URBAN"
"POISONOUS","FLAT","SCALY","BROWN","BRUISES","PUNGENT","FREE","CLOSE","NARROW","BROWN","ENLARGING","EQUAL","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BLACK","SEVERAL","URBAN"
"EDIBLE","CONVEX","SMOOTH","WHITE","NO","NONE","FREE","CROWDED","BROAD","BLACK","TAPERING","EQUAL","SMOOTH","FIBROUS","WHITE","WHITE","PARTIAL","WHITE","ONE","EVANESCENT","BROWN","SCATTERED","GRASSES"
"EDIBLE","CONVEX","SMOOTH","GRAY","NO","NONE","FREE","CROWDED","BROAD","CHOCOLATE","TAPERING","EQUAL","SMOOTH","FIBROUS","WHITE","WHITE","PARTIAL","WHITE","ONE","EVANESCENT","BROWN","ABUNDANT","GRASSES"
"EDIBLE","CONVEX","SMOOTH","GRAY","NO","NONE","FREE","CROWDED","BROAD","CHOCOLATE","TAPERING","EQUAL","FIBROUS","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","EVANESCENT","BLACK","SCATTERED","GRASSES"
"EDIBLE","CONVEX","SMOOTH","GRAY","NO","NONE","FREE","CROWDED","BROAD","BLACK","TAPERING","EQUAL","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","EVANESCENT","BROWN","ABUNDANT","GRASSES"
"EDIBLE","CONVEX","SMOOTH","GRAY","NO","NONE","FREE","CROWDED","BROAD","BROWN","TAPERING","EQUAL","SMOOTH","FIBROUS","WHITE","WHITE","PARTIAL","WHITE","ONE","EVANESCENT","BROWN","SCATTERED","GRASSES"
"EDIBLE","CONVEX","SMOOTH","BROWN","NO","NONE","FREE","CROWDED","BROAD","PINK","TAPERING","EQUAL","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","EVANESCENT","BROWN","ABUNDANT","GRASSES"
"EDIBLE","CONVEX","SMOOTH","BROWN","NO","NONE","FREE","CROWDED","BROAD","CHOCOLATE","TAPERING","EQUAL","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","EVANESCENT","BLACK","SCATTERED","GRASSES"
"EDIBLE","CONVEX","FIBROUS","WHITE","NO","NONE","FREE","CROWDED","BROAD","BLACK","TAPERING","EQUAL","FIBROUS","FIBROUS","WHITE","WHITE","PARTIAL","WHITE","ONE","EVANESCENT","BLACK","ABUNDANT","GRASSES"
"EDIBLE","CONVEX","FIBROUS","GRAY","NO","NONE","FREE","CROWDED","BROAD","PINK","TAPERING","EQUAL","SMOOTH","FIBROUS","WHITE","WHITE","PARTIAL","WHITE","ONE","EVANESCENT","BROWN","SCATTERED","GRASSES"
"EDIBLE","CONVEX","FIBROUS","GRAY","NO","NONE","FREE","CROWDED","BROAD","BROWN","TAPERING","EQUAL","SMOOTH","FIBROUS","WHITE","WHITE","PARTIAL","WHITE","ONE","EVANESCENT","BROWN","ABUNDANT","GRASSES"
"EDIBLE","CONVEX","FIBROUS","GRAY","NO","NONE","FREE","CROWDED","BROAD","PINK","TAPERING","EQUAL","FIBROUS","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","EVANESCENT","BROWN","ABUNDANT","GRASSES"
"EDIBLE","CONVEX","FIBROUS","GRAY","NO","NONE","FREE","CROWDED","BROAD","CHOCOLATE","TAPERING","EQUAL","SMOOTH","FIBROUS","WHITE","WHITE","PARTIAL","WHITE","ONE","EVANESCENT","BROWN","SCATTERED","GRASSES"
"EDIBLE","CONVEX","FIBROUS","GRAY","NO","NONE","FREE","CROWDED","BROAD","BLACK","TAPERING","EQUAL","FIBROUS","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","EVANESCENT","BLACK","SCATTERED","GRASSES"
"EDIBLE","CONVEX","FIBROUS","GRAY","NO","NONE","FREE","CROWDED","BROAD","BROWN","TAPERING","EQUAL","FIBROUS","FIBROUS","WHITE","WHITE","PARTIAL","WHITE","ONE","EVANESCENT","BROWN","ABUNDANT","GRASSES"
"EDIBLE","CONVEX","FIBROUS","BROWN","NO","NONE","FREE","CROWDED","BROAD","CHOCOLATE","TAPERING","EQUAL","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","EVANESCENT","BLACK","SCATTERED","GRASSES"
"EDIBLE","CONVEX","FIBROUS","BROWN","NO","NONE","FREE","CROWDED","BROAD","CHOCOLATE","TAPERING","EQUAL","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","EVANESCENT","BROWN","ABUNDANT","GRASSES"
"EDIBLE","FLAT","SMOOTH","WHITE","NO","NONE","FREE","CROWDED","BROAD","BROWN","TAPERING","EQUAL","FIBROUS","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","EVANESCENT","BLACK","SCATTERED","GRASSES"
"EDIBLE","FLAT","SMOOTH","WHITE","NO","NONE","FREE","CROWDED","BROAD","BROWN","TAPERING","EQUAL","FIBROUS","FIBROUS","WHITE","WHITE","PARTIAL","WHITE","ONE","EVANESCENT","BROWN","ABUNDANT","GRASSES"
"EDIBLE","FLAT","SMOOTH","GRAY","NO","NONE","FREE","CROWDED","BROAD","BROWN","TAPERING","EQUAL","FIBROUS","FIBROUS","WHITE","WHITE","PARTIAL","WHITE","ONE","EVANESCENT","BLACK","ABUNDANT","GRASSES"
"EDIBLE","FLAT","SMOOTH","GRAY","NO","NONE","FREE","CROWDED","BROAD","BLACK","TAPERING","EQUAL","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","EVANESCENT","BROWN","ABUNDANT","GRASSES"
"EDIBLE","FLAT","SMOOTH","BROWN","NO","NONE","FREE","CROWDED","BROAD","BROWN","TAPERING","EQUAL","FIBROUS","FIBROUS","WHITE","WHITE","PARTIAL","WHITE","ONE","EVANESCENT","BLACK","SCATTERED","GRASSES"
"EDIBLE","FLAT","FIBROUS","WHITE","NO","NONE","FREE","CROWDED","BROAD","PINK","TAPERING","EQUAL","FIBROUS","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","EVANESCENT","BROWN","ABUNDANT","GRASSES"
"EDIBLE","FLAT","FIBROUS","WHITE","NO","NONE","FREE","CROWDED","BROAD","CHOCOLATE","TAPERING","EQUAL","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","EVANESCENT","BROWN","SCATTERED","GRASSES"
"EDIBLE","FLAT","FIBROUS","WHITE","NO","NONE","FREE","CROWDED","BROAD","CHOCOLATE","TAPERING","EQUAL","FIBROUS","FIBROUS","WHITE","WHITE","PARTIAL","WHITE","ONE","EVANESCENT","BLACK","SCATTERED","GRASSES"
"EDIBLE","FLAT","FIBROUS","WHITE","NO","NONE","FREE","CROWDED","BROAD","CHOCOLATE","TAPERING","EQUAL","FIBROUS","FIBROUS","WHITE","WHITE","PARTIAL","WHITE","ONE","EVANESCENT","BROWN","ABUNDANT","GRASSES"
"EDIBLE","FLAT","FIBROUS","GRAY","NO","NONE","FREE","CROWDED","BROAD","CHOCOLATE","TAPERING","EQUAL","SMOOTH","FIBROUS","WHITE","WHITE","PARTIAL","WHITE","ONE","EVANESCENT","BROWN","SCATTERED","GRASSES"
"EDIBLE","FLAT","FIBROUS","GRAY","NO","NONE","FREE","CROWDED","BROAD","BROWN","TAPERING","EQUAL","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","EVANESCENT","BROWN","SCATTERED","GRASSES"
"EDIBLE","FLAT","FIBROUS","GRAY","NO","NONE","FREE","CROWDED","BROAD","BROWN","TAPERING","EQUAL","SMOOTH","FIBROUS","WHITE","WHITE","PARTIAL","WHITE","ONE","EVANESCENT","BLACK","SCATTERED","GRASSES"
"EDIBLE","FLAT","FIBROUS","GRAY","NO","NONE","FREE","CROWDED","BROAD","PINK","TAPERING","EQUAL","FIBROUS","FIBROUS","WHITE","WHITE","PARTIAL","WHITE","ONE","EVANESCENT","BROWN","ABUNDANT","GRASSES"
"EDIBLE","FLAT","FIBROUS","BROWN","NO","NONE","FREE","CROWDED","BROAD","CHOCOLATE","TAPERING","EQUAL","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","EVANESCENT","BROWN","SCATTERED","GRASSES"
"EDIBLE","FLAT","FIBROUS","BROWN","NO","NONE","FREE","CROWDED","BROAD","BLACK","TAPERING","EQUAL","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","EVANESCENT","BROWN","ABUNDANT","GRASSES"
"EDIBLE","FLAT","FIBROUS","BROWN","NO","NONE","FREE","CROWDED","BROAD","BLACK","TAPERING","EQUAL","FIBROUS","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","EVANESCENT","BLACK","ABUNDANT","GRASSES"
"EDIBLE","FLAT","FIBROUS","BROWN","NO","NONE","FREE","CROWDED","BROAD","BLACK","TAPERING","EQUAL","FIBROUS","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","EVANESCENT","BROWN","ABUNDANT","GRASSES"
"EDIBLE","CONVEX","FIBROUS","GRAY","BRUISES","NONE","FREE","CLOSE","BROAD","PINK","TAPERING","BULBOUS","SMOOTH","SMOOTH","WHITE","GRAY","PARTIAL","WHITE","ONE","PENDANT","BLACK","SEVERAL","WOODS"
"EDIBLE","CONVEX","FIBROUS","GRAY","BRUISES","NONE","FREE","CLOSE","BROAD","PINK","TAPERING","BULBOUS","SMOOTH","SMOOTH","GRAY","WHITE","PARTIAL","WHITE","ONE","PENDANT","BLACK","SEVERAL","WOODS"
"EDIBLE","CONVEX","FIBROUS","GRAY","BRUISES","NONE","FREE","CLOSE","BROAD","PURPLE","TAPERING","BULBOUS","SMOOTH","SMOOTH","PINK","WHITE","PARTIAL","WHITE","ONE","PENDANT","BLACK","SEVERAL","WOODS"
"EDIBLE","CONVEX","FIBROUS","GRAY","BRUISES","NONE","FREE","CLOSE","BROAD","BROWN","TAPERING","BULBOUS","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BLACK","SOLITARY","WOODS"
"EDIBLE","CONVEX","FIBROUS","GRAY","BRUISES","NONE","FREE","CLOSE","BROAD","BROWN","TAPERING","BULBOUS","SMOOTH","SMOOTH","WHITE","GRAY","PARTIAL","WHITE","ONE","PENDANT","BROWN","SEVERAL","WOODS"
"EDIBLE","CONVEX","FIBROUS","RED","BRUISES","NONE","FREE","CLOSE","BROAD","PINK","TAPERING","BULBOUS","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BLACK","SEVERAL","WOODS"
"EDIBLE","CONVEX","FIBROUS","RED","BRUISES","NONE","FREE","CLOSE","BROAD","BROWN","TAPERING","BULBOUS","SMOOTH","SMOOTH","WHITE","PINK","PARTIAL","WHITE","ONE","PENDANT","BLACK","SOLITARY","WOODS"
"EDIBLE","CONVEX","FIBROUS","RED","BRUISES","NONE","FREE","CLOSE","BROAD","BROWN","TAPERING","BULBOUS","SMOOTH","SMOOTH","WHITE","PINK","PARTIAL","WHITE","ONE","PENDANT","BLACK","SEVERAL","WOODS"
"EDIBLE","CONVEX","FIBROUS","RED","BRUISES","NONE","FREE","CLOSE","BROAD","BROWN","TAPERING","BULBOUS","SMOOTH","SMOOTH","WHITE","PINK","PARTIAL","WHITE","ONE","PENDANT","BROWN","SOLITARY","WOODS"
"EDIBLE","CONVEX","FIBROUS","RED","BRUISES","NONE","FREE","CLOSE","BROAD","BROWN","TAPERING","BULBOUS","SMOOTH","SMOOTH","WHITE","GRAY","PARTIAL","WHITE","ONE","PENDANT","BLACK","SOLITARY","WOODS"
"EDIBLE","CONVEX","FIBROUS","BROWN","BRUISES","NONE","FREE","CLOSE","BROAD","PINK","TAPERING","BULBOUS","SMOOTH","SMOOTH","WHITE","WHITE","PARTIAL","WHITE","ONE","PENDANT","BLACK","SEVERAL","WOODS"
"EDIBLE","CONVEX","FIBROUS","BROWN","BRUISES","NONE","FREE","CLOSE","BROAD","PINK","TAPERING","BULBOUS","SMOOTH","SMOOTH","PINK","GRAY","PARTIAL","WHITE","ONE","PENDANT","BLACK","SOLITARY","WOODS"
"EDIBLE","CONVEX","FIBROUS","BROWN","BRUISES","NONE","FREE","CLOSE","BROAD","PINK","TAPERING","BULBOUS","SMOOTH","SMOOTH","GRAY","PINK","PARTIAL","WHITE","ONE","PENDANT","BLACK","SOLITARY","WOODS"
"EDIBLE","CONVEX","FIBROUS","BROWN","BRUISES","NONE","FREE","CLOSE","BROAD","PURPLE","TAPERING","BULBOUS","SMOOTH","SMOOTH","WHITE","GRAY","PARTIAL","WHITE","ONE","PENDANT","BROWN","SOLITARY","WOODS"
"EDIBLE","CONVEX","FIBROUS","BROWN","BRUISES","NONE","FREE","CLOSE","BROAD","PURPLE","TAPERING","BULBOUS","SMOOTH","SMOOTH","PINK","PINK","PARTIAL","WHITE","ONE","PENDANT","BROWN","SEVERAL","WOODS"
"EDIBLE","CONVEX","FIBROUS","BROWN","BRUISES","NONE","FREE","CLOSE","BROAD","PURPLE","TAPERING","BULBOUS","SMOOTH","SMOOTH","GRAY","GRAY","PARTIAL","WHITE","ONE","PENDANT","BROWN","SOLITARY","WOODS"
"EDIBLE","CONVEX","FIBROUS","BROWN","BRUISES","NONE","FREE","CLOSE","BROAD","BROWN","TAPERING","BULBOUS","SMOOTH","SMOOTH","GRAY","GRAY","PARTIAL","WHITE","ONE","PENDANT","BLACK","SEVERAL","WOODS"
